vpid,artist
b04dcrdm,The Pretenders
b04dcvy9,Bassheads
b04dcvy9,Big Audio Dynamite
b04dcvy9,It’s Immaterial
b04dcvy9,Roots Manuva
b04dcvy9,Squeeze
m00013df,.A/NAOITO & Jazzy Sport
m00013df,A Man Called Adam vs Prins Thomas
m00013df,Ahmoudou Madassane & Sahel Sounds
m00013df,Antonio Sánchez & Impulse!
m00013df,Anu Son
m00013df,Black Midi & Rough Trade
m00013df,Boogarins
m00013df,Charlotte Adigéry & DEEWEE
m00013df,Clever Austin & Touching Bass
m00013df,Dexter Story & Soundway Records
m00013df,Ego Ella May & Tru Thoughts
m00013df,Gaia Beat & YKSI Beat
m00013df,James Brandon Lewis & Relative Pitch Records
m00013df,Joe McPhee & CjRecord Promotions
m00013df,Kalabrese & Zunkuft Recordings
m00013df,Lex Amor & Stamp The Wax
m00013df,Louis VI
m00013df,Me and My Friends
m00013df,Mildlife
m00013df,Nakara Percussion/Africa Djolé
m00013df,Nardeydey & Lucky Number Music Limited
m00013df,Neelam & Flag Universe
m00013df,New Tutenkhamen
m00013df,Nuff Pedals & Gutterfunk
m00013df,O'Flynn & Hundred Flowers
m00013df,Resavoir & International Anthem
m00013df,Ruby Rushton & 22a
m00013df,Seed Ensemble & Jazz Re:freshed
m00013df,Seu Jorge & Maria Rita
m00013df,Shlohmo & WeDidIt
m00013df,Tariq Disu
m00013df,The Matthew Herbert Big Band & Accidental Records
m00013df,Thom Yorke & XL Recordings
m00013df,Tommy Guerrero & Ed Banger
m00013df,UNKLE
m00013df,Zé Manoel & Zé Manoel
m00015wx,"DJ Spinna, NDATL Muzik US & Hugo LX"
m00015wx,"Zara McFarlane, Brownswood Recordings & Dennis Bovell"
m00015wx,21 Savage & Slaughter Gang
m00015wx,A$AP Rocky & A$AP Rocky Recordings
m00015wx,Akaba Man & The Nigie Rokets & Ekimogun
m00015wx,Audrey Powne & White Label
m00015wx,Bobby Wright & Melodies International
m00015wx,Christian Scott & Ropeadope
m00015wx,Cleo Sol & Forever Living Originals
m00015wx,Coach House Rhythm Section & Ice Records
m00015wx,Connie Constance & Virgin EMI
m00015wx,Dubble D aka Moodymanc & Nicetraxuk
m00015wx,Free the Robots & Bastard Jazz Recordings
m00015wx,Galaxy & Disque Debs
m00015wx,Gene Harris & Blue Note
m00015wx,Gladys Knight & Buddah Records
m00015wx,Ice & Kedzie
m00015wx,J. P. Morgan & We Want Sounds
m00015wx,Jack Jacobs & Libra Records
m00015wx,Jean-Marie Tjibaou & Hors Cadres
m00015wx,Kassa Overall & Kassa Overall
m00015wx,Leikeli47 & Hardcover LLC
m00015wx,Leon Ware & Be With Records
m00015wx,Leroy Taylor & Federal Green Records
m00015wx,Lonnie Holley & Jagjaguwar
m00015wx,Mark de Clive-Lowe & Ropeadope
m00015wx,Marvin Gaye & Motown
m00015wx,Nikitch & Kuna Maze
m00015wx,Prince Buster’s All Stars & Voice of the People blank 45
m00015wx,Rafael Labasta Y Su Orquesta & CBS
m00015wx,Rance Allen & EMI
m00015wx,Raul Marrero & Mericana Records
m00015wx,Rob & Mr Bongo
m00015wx,Seed Ensemble
m00015wx,Sharon Johnson & Tyscot Recordings
m00015wx,Silent Jay & White Label
m00015wx,Sweet Mixture & Bazar Records
m00015wx,Tamar Collocutor & On The Corner
m00015wx,Tenesha the Wordsmith & On The Corner
m00015wx,The Edwards Generation & Cordial Recordings
m00015wx,Vorace & Tangram Records
m00015wx,Wayne Shorter & Jazzman
m00015wx,Winston Jarret & Gold Dust
m00015wx,ZGTO & Ghostly International
m00015wx,Zdenek Lika & Finders Keepers
m00015wx,Zero 7 & Ultimate Dilemma
m00015wx,unperfect & Xenomania UK
m00020pd,Angelic Upstarts
m00020pd,Bauhaus
m00020pd,Bog-Shed
m00020pd,Booker T. & The MG’s
m00020pd,Cluster
m00020pd,D. Rothon
m00020pd,Elson
m00020pd,Elvis Costello & The Attractions
m00020pd,Eno And The Winkies
m00020pd,Fat White Family
m00020pd,Gillian Welch
m00020pd,Iron Maiden
m00020pd,John Foxx
m00020pd,Jon Hopkins
m00020pd,Julia Kent
